gene	SJMMBT044903_D1	SJMMBT044904_D1	SJMMBT047584_D1	SJMMBT047585_D1	SJMMBT047586_D1	SJMMBT047587_D1	SJMMBT044907_D1	SJMMBT044908_D1	SJMMBT044909_D1	SJMMBT044910_D1	SJMMBT044911_D1	SJMMBT045512_D1	SJMMBT044913_D1	SJMMBT044914_D1	SJMMBT044915_D1	SJMMBT044916_D1	SJMMBT045379_D1	SJMMBT047605_D1
Gm14351	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14366	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm14371	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1
Gm14372	2	1	1	0	1	0	4	0	0	0	1	2	1	0	4	0	6	1
Gm14373	154	171	65	114	96	86	136	104	79	75	118	72	110	107	188	87	118	52
Gm14376	30	50	15	21	16	20	73	19	23	23	25	20	56	78	80	17	44	12
Gm14377	2	4	0	4	7	0	11	3	1	0	3	1	7	5	27	2	13	0
Gm14378	38	42	22	38	16	24	91	104	39	49	71	75	37	55	75	59	128	33
Gm14379	22	13	10	8	13	7	6	7	3	5	17	8	10	12	18	9	20	20
Gm14380	2	0	0	0	0	1	1	0	0	1	0	0	0	0	3	0	1	0
Gm14382	50	31	26	35	28	26	64	18	36	25	49	26	50	83	88	36	21	16
Gm14383	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0
Gm14387	42	41	20	34	38	24	36	32	29	35	27	26	44	47	61	30	25	23
Gm14388	238	157	65	142	167	597	172	184	85	99	160	114	128	259	232	143	140	90
Gm14389	0	0	0	0	0	0	0	0	0	1	1	0	1	3	0	0	0	0
Gm14390	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Gm14391	1300	964	344	827	688	517	1267	1022	615	597	877	781	730	1609	786	834	892	546
Gm14392	16	22	7	7	4	11	28	22	9	3	10	20	10	19	7	11	26	3
Gm14393	47	13	3	8	25	8	36	57	2	9	20	34	14	52	5	5	45	2
Gm14395	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Gm14397	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	2	0
Gm14398	19	14	10	12	20	11	21	12	17	4	14	13	7	21	23	9	17	6
Gm14399	697	484	172	427	328	230	699	561	291	273	457	439	391	914	419	379	573	266
Gm14400	5	4	7	6	14	14	10	8	4	10	17	10	7	6	14	6	12	6
Gm14401	4	12	1	13	22	6	15	5	5	7	16	6	11	17	2	7	7	4
Gm14402	5	6	0	0	3	5	13	0	3	2	2	1	4	5	0	2	7	1
Gm14403	101	1121	258	349	477	716	801	570	71	668	689	424	656	530	732	180	409	492
Gm14404	1	1	1	0	1	0	2	1	0	0	0	2	0	1	0	0	0	0
Gm14405	10	4	3	2	2	1	4	10	1	2	2	4	5	16	1	2	11	2
