geneID	geneSymbol	bioType	annotationLevel	SRR7850870	SRR7850871	SRR7850872	SRR7850873	SRR7850874	SRR7850875	SRR7850876	SRR7850877	SRR7850878
ENSMUSG00000063659.11	Zbtb18	protein_coding	2	3773.0	15191.0	15397.0	14922.0	12843.0	14456.0	6079.0	8908.0	6105.0
ENSMUSG00000063660.4	Olfr98	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063661.6	Krt73	protein_coding	2	7.0	19.0	19.0	20.0	16.0	8.0	8.0	13.0	1.0
ENSMUSG00000063663.11	Brwd3	protein_coding	2	900.0	2672.0	2268.0	2306.0	2841.0	3416.0	1847.0	2319.0	1029.0
ENSMUSG00000063672.7	Nkx6-3	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063681.14	Crb1	protein_coding	2	154.0	405.0	369.0	376.0	807.0	333.0	297.0	301.0	82.0
ENSMUSG00000063683.12	Glyat	protein_coding	1	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
ENSMUSG00000063684.9	Gm13910	processed_pseudogene	2	97.37	191.93	190.13	205.28	264.9	357.73	208.06	258.74	128.7
ENSMUSG00000063687.3	Pcdhb5	protein_coding	2	41.0	147.0	134.0	94.0	125.0	117.0	73.0	102.0	31.0
ENSMUSG00000063689.4	Hist2h2ab	protein_coding	2	129.04	281.18	362.06	282.1	437.1	459.12	319.12	338.06	159.04
ENSMUSG00000063694.5	Cycs	protein_coding	2	1314.3	3444.09	3068.09	2937.7	3801.24	5763.83	3041.04	4003.46	1855.65
ENSMUSG00000063696.7	Gm8730	processed_pseudogene	2	339.59	735.09	628.45	612.73	786.74	917.11	628.78	757.85	438.92
ENSMUSG00000063698.9	Sfxn4	protein_coding	2	55.0	187.0	130.0	150.0	169.0	187.0	136.0	150.0	58.0
ENSMUSG00000063704.13	Mapk15	protein_coding	2	19.0	35.0	25.0	20.0	29.0	34.0	29.0	26.0	8.0
